City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,71.1,76,100,4.79,overcast clouds
1,Hobart,AU,-42.8794,147.3294,71.46,60,75,10.36,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,21.4,95,100,6.4,snow
3,Ushuaia,AR,-54.8,-68.3,40.46,97,95,3.04,light rain
4,Busselton,AU,-33.65,115.3333,77.09,37,45,17.47,scattered clouds
5,Gondar,ET,12.6,37.4667,71.35,39,53,3.06,broken clouds
6,Tasiilaq,GL,65.6145,-37.6368,32.16,89,100,35.54,light snow
7,Balboa,CO,2.0396,-77.2168,59.27,98,100,0.13,light rain
8,Mar Del Plata,AR,-38.0023,-57.5575,70.09,92,0,3.0,clear sky
9,Souillac,MU,-20.5167,57.5167,84.36,83,40,12.66,light rain
10,Bredasdorp,ZA,-34.5322,20.0403,87.28,73,0,3.44,clear sky
11,Qaanaaq,GL,77.484,-69.3632,-6.21,74,34,5.21,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,60.48,99,95,1.05,moderate rain
13,Port Alfred,ZA,-33.5906,26.891,78.66,73,3,21.63,clear sky
14,Kapaa,US,22.0752,-159.319,67.98,94,0,4.61,clear sky
15,Aklavik,CA,68.2191,-135.0107,-22.97,88,9,10.09,clear sky
16,Kruisfontein,ZA,-34.0033,24.7314,80.89,42,0,7.94,clear sky
17,Norman Wells,CA,65.282,-126.8329,-16.56,69,20,11.5,few clouds
18,Mikhaylovka,RU,50.06,43.2379,19.78,90,99,12.03,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,70.48,90,26,4.27,scattered clouds
20,Bluff,NZ,-46.6,168.3333,60.8,97,100,6.76,light rain
21,Ati,TD,13.2154,18.3353,79.23,16,46,14.29,scattered clouds
22,Sitka,US,57.0531,-135.33,30.09,80,100,11.5,light snow
23,Saint George,US,37.1041,-113.5841,43.27,54,0,7.0,clear sky
24,Fortuna,US,40.5982,-124.1573,42.19,100,0,9.22,clear sky
25,Vaini,TO,-21.2,-175.2,75.36,100,100,4.61,light rain
26,Butaritari,KI,3.0707,172.7902,80.17,83,100,16.2,moderate rain
27,Peniche,PT,39.3558,-9.3811,56.1,78,98,10.83,overcast clouds
28,Hachinohe,JP,40.5,141.5,31.82,77,8,9.42,clear sky
29,Ahipara,NZ,-35.1667,173.1667,67.66,78,71,1.14,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,77.99,80,100,20.94,overcast clouds
31,Tiksi,RU,71.6872,128.8694,-21.69,97,99,10.47,overcast clouds
32,Vila,PT,42.0304,-8.1588,45.48,95,100,5.57,light rain
33,Ha Giang,VN,22.8333,104.9833,60.66,97,100,1.95,overcast clouds
34,Naryan-Mar,RU,67.6713,53.087,13.17,92,100,18.61,light snow
35,Grindavik,IS,63.8424,-22.4338,35.55,80,75,6.91,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,82.47,57,0,23.02,clear sky
37,Agropoli,IT,40.3469,14.9966,48.76,73,100,3.13,overcast clouds
38,Buraydah,SA,26.326,43.975,64.85,27,0,13.35,clear sky
39,Khatanga,RU,71.9667,102.5,-14.26,98,24,5.32,few clouds
40,Bijar,IR,35.8668,47.6051,40.96,38,0,3.71,clear sky
41,Arraial Do Cabo,BR,-22.9661,-42.0278,72.59,87,100,7.56,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,13.8,clear sky
43,Chernyshevskiy,RU,63.0128,112.4714,-30.14,98,20,3.91,few clouds
44,Torbay,CA,47.6666,-52.7314,16.75,78,20,7.0,few clouds
45,Barrow,US,71.2906,-156.7887,-18.38,76,0,4.61,clear sky
46,Morehead,US,37.2711,-87.1764,46.31,93,100,1.01,moderate rain
47,Port Blair,IN,11.6667,92.75,82.8,65,27,13.18,scattered clouds
48,Bethel,US,41.3712,-73.414,31.5,67,60,9.73,broken clouds
49,Awbari,LY,26.5921,12.7805,43.48,51,0,8.72,clear sky
50,Devils Lake,US,48.1128,-98.8651,-11.22,75,0,18.01,haze
51,Kavaratti,IN,10.5669,72.642,79.59,68,7,7.27,clear sky
52,Alofi,NU,-19.0595,-169.9187,78.69,83,88,5.75,overcast clouds
53,Anadyr,RU,64.75,177.4833,-1.7,71,0,2.24,clear sky
54,Kodiak,US,57.79,-152.4072,33.26,85,100,22.75,snow
55,Oussouye,SN,12.485,-16.5469,69.89,27,83,6.17,broken clouds
56,Hrubieszow,PL,50.805,23.8925,27.55,96,100,1.92,light snow
57,Ostrovnoy,RU,68.0531,39.5131,13.5,93,100,13.96,overcast clouds
58,Yellowknife,CA,62.456,-114.3525,-23.71,81,40,8.05,scattered clouds
59,Thompson,CA,55.7435,-97.8558,-20.04,69,20,14.97,few clouds
60,Clyde River,CA,70.4692,-68.5914,-10.97,77,100,16.11,light snow
61,Hasaki,JP,35.7333,140.8333,55.69,38,100,7.94,overcast clouds
62,Luohe,CN,33.5717,114.0353,50.63,53,24,4.83,few clouds
63,Terrace Bay,CA,48.7834,-87.1,26.22,82,98,21.61,overcast clouds
64,Hilo,US,19.7297,-155.09,71.33,89,75,0.0,broken clouds
65,Hermanus,ZA,-34.4187,19.2345,87.8,70,11,6.96,few clouds
66,Tuktoyaktuk,CA,69.4541,-133.0374,-22.22,99,95,13.47,overcast clouds
67,Maniitsoq,GL,65.4167,-52.9,5.85,87,95,7.45,overcast clouds
68,Abha,SA,18.2164,42.5053,62.42,67,20,0.0,few clouds
69,Dikson,RU,73.5069,80.5464,-15.56,99,82,11.43,broken clouds
70,Esmeralda,CU,21.8525,-78.1169,72.64,81,4,10.58,clear sky
71,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,72,96,6.4,overcast clouds
72,Qaqortoq,GL,60.7167,-46.0333,14.5,85,100,2.15,light snow
73,Vila Velha,BR,-20.3297,-40.2925,73.35,97,100,2.3,overcast clouds
74,Hithadhoo,MV,-0.6,73.0833,82.24,71,9,4.88,clear sky
75,Salalah,OM,17.0151,54.0924,78.89,25,0,11.5,clear sky
76,Alyangula,AU,-13.8483,136.4192,98.47,36,5,4.61,clear sky
77,Beatrice,US,40.2681,-96.747,27.18,54,75,23.02,broken clouds
78,Beringovskiy,RU,63.05,179.3167,-8.86,96,85,10.65,overcast clouds
79,Katsuura,JP,35.1333,140.3,54.1,57,100,6.62,overcast clouds
80,Saskylakh,RU,71.9167,114.0833,-4.79,96,100,17.47,light snow
81,Lorengau,PG,-2.0226,147.2712,81.63,78,100,7.47,overcast clouds
82,Victoria,HK,22.2855,114.1577,70.97,78,60,3.0,broken clouds
83,Tuatapere,NZ,-46.1333,167.6833,60.82,90,93,1.57,light rain
84,Avarua,CK,-21.2078,-159.775,77.05,94,94,1.14,overcast clouds
85,Ipoti,NG,7.8738,5.0769,78.8,23,7,7.94,clear sky
86,Albany,US,42.6001,-73.9662,30.31,56,100,1.01,overcast clouds
87,Westport,US,41.1415,-73.3579,34.81,60,0,15.99,clear sky
88,Broome,US,42.2506,-75.833,29.01,68,100,3.0,overcast clouds
89,Abonnema,NG,4.7084,6.7931,73.69,66,93,3.31,moderate rain
90,Mahebourg,MU,-20.4081,57.7,84.25,83,40,12.66,scattered clouds
91,Lavrentiya,RU,65.5833,-171.0,-13.95,86,4,8.03,clear sky
92,Ribeira Grande,PT,38.5167,-28.7,61.2,63,75,16.11,broken clouds
93,Bandarbeyla,SO,9.4942,50.8122,78.96,57,0,18.77,clear sky
94,Port Elizabeth,ZA,-33.918,25.5701,83.1,88,20,19.57,few clouds
95,Bambous Virieux,MU,-20.3428,57.7575,84.22,83,40,12.66,scattered clouds
96,Katherine,AU,-14.4667,132.2667,93.52,52,40,6.91,moderate rain
97,Davila,PH,18.4726,120.5763,80.58,77,14,15.9,few clouds
98,Castro,BR,-24.7911,-50.0119,53.89,96,59,4.68,broken clouds
99,Neryungri,RU,56.6709,124.6491,-20.07,98,100,5.95,overcast clouds
100,Vallenar,CL,-28.5708,-70.7581,62.83,76,73,2.39,broken clouds
101,Athabasca,CA,54.7169,-113.2854,-20.38,99,100,2.28,overcast clouds
102,Ilulissat,GL,69.2167,-51.1,12.22,67,100,2.3,overcast clouds
103,Hovd,MN,48.0056,91.6419,11.01,94,54,2.82,broken clouds
104,Karasjok,NO,69.4719,25.5112,12.31,100,37,3.13,scattered clouds
105,Constitucion,CL,-35.3333,-72.4167,60.89,87,99,9.26,overcast clouds
106,Gazli,UZ,40.1333,63.45,45.18,54,98,3.56,overcast clouds
107,Lagoa,PT,39.05,-27.9833,58.48,70,38,10.96,scattered clouds
108,Saldanha,ZA,-33.0117,17.9442,66.25,73,26,6.06,scattered clouds
109,Charters Towers,AU,-20.1,146.2667,90.99,43,80,20.07,light rain
110,Lingyuan,CN,41.24,119.4011,29.66,40,92,2.8,overcast clouds
111,Atar,MR,20.5169,-13.0499,60.55,20,49,16.04,scattered clouds
112,Bowen,AU,-20.0167,148.2333,86.22,71,99,11.83,overcast clouds
113,Capreol,CA,46.706,-80.9225,28.54,96,100,1.99,overcast clouds
114,Siyabuswa,ZA,-25.1132,29.0445,75.49,56,5,6.53,clear sky
115,Ambovombe,MG,-25.1667,46.0833,85.73,57,99,14.97,overcast clouds
116,Lebu,CL,-37.6167,-73.65,58.42,93,93,4.45,overcast clouds
117,Riyadh,SA,24.6877,46.7219,60.94,21,0,8.01,clear sky
118,Kot Samaba,PK,28.5522,70.4684,64.0,47,0,4.12,clear sky
119,Nizwa,OM,22.9333,57.5333,68.11,37,0,5.61,clear sky
120,Derzhavinsk,KZ,51.1,66.3167,7.81,92,8,9.24,clear sky
121,Ancud,CL,-41.8697,-73.8203,57.22,88,100,4.38,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,64.0,72,40,11.39,scattered clouds
123,Cherskiy,RU,68.75,161.3,-24.88,100,73,2.39,broken clouds
124,Atuona,PF,-9.8,-139.0333,78.53,73,32,17.27,scattered clouds
125,Talnakh,RU,69.4865,88.3972,10.15,94,100,9.4,light snow
126,Matagami,CA,49.7502,-77.6328,14.11,85,100,16.11,overcast clouds
127,Nanortalik,GL,60.1432,-45.2371,16.3,84,100,14.29,light snow
128,Tolbazy,RU,54.0241,55.8825,0.36,95,23,6.55,few clouds
129,Lompoc,US,34.6391,-120.4579,55.13,85,0,8.05,clear sky
130,Kedrovyy,RU,56.1667,91.8167,28.81,78,100,8.66,overcast clouds
131,Severo-Kurilsk,RU,50.6789,156.125,31.03,90,100,15.14,light snow
132,Chifeng,CN,42.2683,118.9636,25.23,46,15,3.91,few clouds
133,Kavieng,PG,-2.5744,150.7967,82.69,73,80,7.65,light rain
134,Cape Town,ZA,-33.9258,18.4232,75.61,69,0,16.11,clear sky
135,Padang,ID,-0.9492,100.3543,86.05,81,90,7.4,overcast clouds
136,Wattegama,LK,6.7989,81.4808,83.21,67,99,9.91,overcast clouds
137,Harper,LR,4.375,-7.7169,79.77,79,32,2.15,scattered clouds
138,Cravo Norte,CO,6.3017,-70.2041,77.05,58,83,9.1,broken clouds
139,Joao Pinheiro,BR,-17.7425,-46.1725,66.02,99,100,3.29,overcast clouds
140,Keti Bandar,PK,24.1447,67.4497,69.21,37,0,8.84,clear sky
141,Gaoual,GN,11.75,-13.2,70.54,66,50,0.6,scattered clouds
142,Liloy,PH,8.1144,122.6594,81.55,77,47,9.53,scattered clouds
143,Narsaq,GL,60.9167,-46.05,14.22,89,100,2.73,light snow
144,Mozarlandia,BR,-14.7447,-50.5706,70.77,98,100,8.77,overcast clouds
145,Vytegra,RU,61.0064,36.4481,12.97,94,100,6.26,overcast clouds
146,Elbistan,TR,38.2059,37.1983,36.86,98,100,1.34,overcast clouds
147,East London,ZA,-33.0153,27.9116,79.74,73,20,10.36,few clouds
148,Hami,CN,42.8,93.45,30.29,34,0,2.71,clear sky
149,Adrar,MR,20.5022,-10.0711,50.94,27,13,14.2,few clouds
150,Juybar,IR,36.6412,52.9124,55.56,69,40,3.69,scattered clouds
151,Asau,RO,46.4333,26.4,37.76,97,100,3.0,overcast clouds
152,Mosquera,CO,4.7059,-74.2302,53.69,94,75,3.44,broken clouds
153,San Cristobal,VE,7.7669,-72.225,62.24,94,37,3.22,scattered clouds
154,Port Keats,AU,-14.25,129.55,87.75,64,91,7.74,overcast clouds
155,Ucluelet,CA,48.9329,-125.5528,43.09,93,100,11.21,overcast clouds
156,Lecce,IT,40.2167,18.1667,46.87,88,0,1.14,clear sky
157,Felanitx,ES,39.4696,3.1483,59.95,62,100,17.2,overcast clouds
158,Madang,PG,-5.2246,145.7966,77.31,91,99,5.57,overcast clouds
159,Avera,US,33.194,-82.5271,47.08,72,93,7.78,overcast clouds
160,Inirida,CO,3.8653,-67.9239,72.27,80,100,1.34,overcast clouds
161,Cookeville,US,36.1628,-85.5016,47.66,73,40,5.01,scattered clouds
162,Laguna,US,38.421,-121.4238,48.92,95,0,1.01,mist
163,Isabela,PH,6.7085,121.9711,87.85,78,82,5.66,broken clouds
164,Kangalassy,RU,62.3464,129.9628,-29.27,100,55,1.61,broken clouds
165,Harda,IN,22.3333,77.1,76.86,52,26,4.76,scattered clouds
166,Yurty,RU,56.0498,97.6348,10.42,87,34,6.69,scattered clouds
167,Saint-Philippe,RE,-21.3585,55.7679,86.11,79,62,7.43,light rain
168,Mana,GF,5.6592,-53.7767,73.81,88,98,8.46,overcast clouds
169,Willmar,US,45.1219,-95.0433,1.08,71,0,20.71,clear sky
170,Svetlogorsk,BY,52.6333,29.7333,25.7,95,100,9.28,snow
171,Kwinana,AU,-32.25,115.7667,79.14,51,0,7.0,clear sky
172,East Wenatchee,US,47.4157,-120.2931,33.13,83,0,0.0,clear sky
173,Urumqi,CN,43.801,87.6005,14.95,79,8,4.47,mist
174,Bosobolo,CD,4.1833,19.9,93.07,25,71,2.19,broken clouds
175,Kolpashevo,RU,58.3131,82.9089,28.94,90,100,12.75,overcast clouds
176,High Level,CA,58.5169,-117.136,-32.69,68,0,0.0,clear sky
177,Ust-Nera,RU,64.5667,143.2,-22.67,100,64,3.87,broken clouds
178,Baykit,RU,61.67,96.37,9.19,97,100,5.44,light snow
179,Provideniya,RU,64.3833,-173.3,0.37,68,0,10.85,clear sky
180,Chuy,UY,-33.6971,-53.4616,66.65,75,1,9.89,clear sky
181,Acapulco,MX,16.8634,-99.8901,75.02,88,0,0.0,clear sky
182,Pevek,RU,69.7008,170.3133,-11.33,100,75,4.52,broken clouds
183,Gravdal,NO,68.1214,13.5031,27.57,80,16,9.6,few clouds
184,Rodrigues Alves,BR,-7.738,-72.6509,73.04,88,14,3.33,few clouds
185,Spornoye,RU,50.8448,37.2913,23.02,96,100,12.64,snow
186,Zacualpan,MX,21.25,-105.1667,68.72,68,17,3.91,few clouds
187,Coihaique,CL,-45.5752,-72.0662,55.35,67,75,9.22,broken clouds
188,Ondjiva,AO,-17.0667,15.7333,75.24,46,20,2.3,few clouds
189,Chandia,IN,23.65,80.7,61.02,95,100,2.59,overcast clouds
190,Mayna,RU,54.1135,47.6231,9.97,93,67,5.86,broken clouds
191,Cabedelo,BR,-6.9811,-34.8339,74.07,78,100,7.05,overcast clouds
192,Levelland,US,33.5873,-102.378,47.25,40,100,16.26,overcast clouds
193,Yulara,AU,-25.2406,130.9889,105.64,6,0,8.05,clear sky
194,Kahului,US,20.8947,-156.47,71.83,88,0,6.91,clear sky
195,Geraldton,AU,-28.7667,114.6,77.41,44,0,26.46,clear sky
196,Along,IN,28.1667,94.7667,75.94,35,50,1.86,scattered clouds
197,Kaitangata,NZ,-46.2817,169.8464,55.98,98,100,2.95,moderate rain
198,Bure,ET,10.7,37.0667,75.74,36,21,3.2,few clouds
199,Dunedin,NZ,-45.8742,170.5036,59.76,87,100,1.39,overcast clouds
200,Zhigansk,RU,66.7697,123.3711,-35.05,99,100,12.35,overcast clouds
201,Caravelas,BR,-17.7125,-39.2481,75.72,95,100,9.82,light rain
202,La Seyne-Sur-Mer,FR,43.0982,5.8847,51.75,51,98,11.01,overcast clouds
203,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,93,100,6.71,light shower snow
204,Batagay,RU,67.6333,134.6333,-27.18,98,49,4.23,scattered clouds
205,Xuddur,SO,4.1213,43.8894,85.19,43,1,19.8,clear sky
206,Hajdusamson,HU,47.6,21.7667,30.22,100,100,0.0,fog
207,Bella Union,UY,-30.2752,-57.6007,68.72,61,0,12.06,clear sky
208,Bardiyah,LY,31.7561,25.0865,53.78,64,30,24.99,scattered clouds
209,Kamaishi,JP,39.2667,141.8833,38.35,68,10,8.03,clear sky
210,Cururupu,BR,-1.8283,-44.8683,74.88,92,99,2.42,overcast clouds
211,Neiafu,TO,-18.65,-173.9833,78.35,80,100,15.05,overcast clouds
212,Half Moon Bay,US,37.4636,-122.4286,51.91,83,0,0.0,clear sky
213,Iroquois Falls,CA,48.7669,-80.6831,24.94,90,100,11.52,overcast clouds
214,Lata,PT,40.1629,-8.3327,53.82,88,100,2.08,overcast clouds
215,Oistins,BB,13.0667,-59.5333,71.69,88,75,10.36,broken clouds
216,Tura,IN,25.5198,90.2201,76.86,37,0,5.39,clear sky
217,Cabo San Lucas,MX,22.8909,-109.9124,68.5,82,69,4.0,broken clouds
218,Maceio,BR,-9.6658,-35.7353,74.64,88,20,5.75,few clouds
219,Esperance,AU,-33.8667,121.9,69.64,59,7,19.86,clear sky
220,Kpandu,GH,6.9954,0.2931,82.02,52,50,0.36,scattered clouds
221,Galesong,ID,-5.3166,119.3661,84.22,71,64,10.94,broken clouds
222,Kushiro,JP,42.975,144.3747,27.55,63,75,9.22,broken clouds
223,Wagar,SD,16.1525,36.2032,82.72,53,5,10.45,clear sky
224,Bonga,ET,7.2833,36.2333,73.99,61,71,1.39,light rain
225,Tessalit,ML,20.1986,1.0114,54.72,24,0,11.25,clear sky
226,Arvika,SE,59.6553,12.5852,29.01,92,100,7.52,overcast clouds
227,Fairbanks,US,64.8378,-147.7164,-16.6,67,0,8.05,clear sky
228,Worpswede,DE,53.2167,8.9333,39.81,96,100,1.01,light rain
229,Jalu,LY,29.0331,21.5482,53.1,39,0,24.18,clear sky
230,Haines Junction,CA,60.7522,-137.5108,-49.05,65,95,2.3,overcast clouds
231,Srednekolymsk,RU,67.45,153.6833,-17.52,96,100,3.89,overcast clouds
232,Octeville,FR,49.6261,-1.6435,47.91,76,75,24.34,broken clouds
233,Juegang,CN,32.3174,121.1855,44.64,62,69,7.65,broken clouds
234,Jamestown,US,42.097,-79.2353,34.72,91,100,5.99,mist
